X--_uc251498ff9 1::[V(_uc263a294881)],Y--_uc251498ff9 1::[V(_uc263a294881)],,X--_uc251498ff9 2::[V(_uc263a294882)],Y--_uc251498ff9 2::[V(_uc263a294882)]
0,0,,0,0
1e-07,3.68216,,1e-07,3.99435
1.02245e-07,3.77856,,1.02245e-07,3.97074
1.06736e-07,3.94759,,1.06736e-07,3.92368
1.13305e-07,4.12621,,1.13305e-07,3.85529
1.20295e-07,4.26169,,1.20295e-07,3.78314
1.30686e-07,4.41335,,1.30686e-07,3.67708
1.41755e-07,4.5323,,1.41755e-07,3.56576
1.63893e-07,4.70073,,1.63893e-07,3.34857
2.08169e-07,4.89172,,2.08169e-07,2.93809
2.96721e-07,5.00724,,2.96721e-07,2.23004
3.95835e-07,5.03087,,3.95835e-07,1.61118
4.95957e-07,5.02156,,4.95957e-07,1.14852
6.15752e-07,5.01585,,6.15752e-07,0.754095
7.53925e-07,5.0144,,7.53925e-07,0.458958
9.40697e-07,5.01491,,9.40697e-07,0.236179
1.1499e-06,5.01487,,1.1499e-06,0.110895
1.33982e-06,5.015,,1.33982e-06,0.0560416
1.59041e-06,5.01511,,1.59041e-06,0.0221293
1.89499e-06,5.01527,,1.89499e-06,0.00686528
2.30796e-06,5.01549,,2.30796e-06,0.00117914
2.87335e-06,5.01581,,2.87335e-06,6.66009e-05
3.72962e-06,5.01635,,3.72962e-06,5.39116e-05
5.16728e-06,5.0174,,5.16728e-06,5.70153e-05
6.44089e-06,0.0803141,,6.44089e-06,-5.43473e-06
7.7394e-06,0.0485171,,7.7394e-06,-4.35031e-05
8.33699e-06,0.0449017,,8.33699e-06,-3.89156e-05
9.16945e-06,0.0411902,,9.16945e-06,-3.37773e-05
1e-05,0.0384646,,1e-05,-3.30528e-05
1.01543e-05,0.0380672,,1.01543e-05,-3.31722e-05
1.04629e-05,0.0376485,,1.04629e-05,-3.33294e-05
1.10801e-05,0.0376186,,1.10801e-05,-3.34002e-05
1.23145e-05,0.0376347,,1.23145e-05,-3.33872e-05
1.38035e-05,0.0376251,,1.38035e-05,-3.33766e-05
1.67816e-05,0.0376315,,1.67816e-05,-3.33524e-05
2.27377e-05,0.0376253,,2.27377e-05,-3.33057e-05
3.27377e-05,0.0376292,,3.27377e-05,-3.32263e-05
4.27377e-05,0.0376235,,4.27377e-05,-3.31476e-05
5.27377e-05,0.0376268,,5.27377e-05,-3.30684e-05
6.27377e-05,0.0376216,,6.27377e-05,-3.29897e-05
7.27377e-05,0.0376244,,7.27377e-05,-3.29107e-05
8.27377e-05,0.0376197,,8.27377e-05,-3.28321e-05
9.27377e-05,0.037622,,9.27377e-05,-3.27532e-05
0.000102738,0.0376178,,0.000102738,-3.26747e-05
0.000112738,0.0376196,,0.000112738,-3.2596e-05
0.000122738,0.0376159,,0.000122738,-3.25175e-05
0.000132738,0.0376173,,0.000132738,-3.2439e-05
0.000142738,0.0376139,,0.000142738,-3.23606e-05
0.000152738,0.037615,,0.000152738,-3.22822e-05
0.000162738,0.0376119,,0.000162738,-3.2204e-05
0.000172738,0.0376128,,0.000172738,-3.21257e-05
0.000182738,0.0376099,,0.000182738,-3.20475e-05
0.000192738,0.0376105,,0.000192738,-3.19694e-05
0.000202738,0.0376079,,0.000202738,-3.18913e-05
0.000212738,0.0376083,,0.000212738,-3.18133e-05
0.000222738,0.0376059,,0.000222738,-3.17354e-05
0.000232738,0.0376061,,0.000232738,-3.16575e-05
0.000242738,0.0376039,,0.000242738,-3.15797e-05
0.000252738,0.0376039,,0.000252738,-3.15019e-05
0.000262738,0.0376018,,0.000262738,-3.14242e-05
0.000272738,0.0376017,,0.000272738,-3.13465e-05
0.000282738,0.0375998,,0.000282738,-3.12689e-05
0.000292738,0.0375996,,0.000292738,-3.11914e-05
0.000302738,0.0375977,,0.000302738,-3.11139e-05
0.000312738,0.0375974,,0.000312738,-3.10365e-05
0.000322738,0.0375957,,0.000322738,-3.09591e-05
0.000332738,0.0375953,,0.000332738,-3.08818e-05
0.000342738,0.0375936,,0.000342738,-3.08046e-05
0.000352738,0.0375931,,0.000352738,-3.07274e-05
0.000362738,0.0375916,,0.000362738,-3.06503e-05
0.000372738,0.037591,,0.000372738,-3.05732e-05
0.000382738,0.0375895,,0.000382738,-3.04962e-05
0.000392738,0.0375889,,0.000392738,-3.04193e-05
0.000402738,0.0375875,,0.000402738,-3.03424e-05
0.000412738,0.0375868,,0.000412738,-3.02655e-05
0.000422738,0.0375854,,0.000422738,-3.01888e-05
0.000432738,0.0375847,,0.000432738,-3.01121e-05
0.000442738,0.0375834,,0.000442738,-3.00354e-05
0.000452738,0.0375826,,0.000452738,-2.99588e-05
0.000462738,0.0375813,,0.000462738,-2.98823e-05
0.000472738,0.0375805,,0.000472738,-2.98058e-05
0.000482738,0.0375793,,0.000482738,-2.97294e-05
0.000492738,0.0375785,,0.000492738,-2.9653e-05
0.000502738,0.0375772,,0.000502738,-2.95767e-05
0.000512738,0.0375764,,0.000512738,-2.95004e-05
0.000522738,0.0375752,,0.000522738,-2.94242e-05
0.000532738,0.0375743,,0.000532738,-2.93481e-05
0.000542738,0.0375731,,0.000542738,-2.9272e-05
0.000552738,0.0375723,,0.000552738,-2.9196e-05
0.000562738,0.0375711,,0.000562738,-2.91201e-05
